Gene	"Gene synonym"	"Gene description"
PHACTR3	"C20orf101, PPP1R123"	"Phosphatase and actin regulator 3"
POU3F1	"OCT6, OTF6, SCIP"	"POU class 3 homeobox 1"
PPFIA2		"PTPRF interacting protein alpha 2"
RASD2	"MGC:4834, Rhes, TEM2"	"RASD family member 2"
RFPL2	RNF79	"Ret finger protein like 2"
RTN4RL2	"NgR2, NGRH1"	"Reticulon 4 receptor like 2"
S100B	S100beta	"S100 calcium binding protein B"
SEPTIN3	"SEP3, SEPT3"	"Septin 3"
SHD		"Src homology 2 domain containing transforming protein D"
SLC1A2	"EAAT2, GLT-1"	"Solute carrier family 1 member 2"
SLC25A18		"Solute carrier family 25 member 18"
TRHR		"Thyrotropin releasing hormone receptor"
TRIL	KIAA0644	"TLR4 interactor with leucine rich repeats"
ZNF488	FLJ32104	"Zinc finger protein 488"
ZP2	ZPA	"Zona pellucida glycoprotein 2"
ABHD12B	"BEM46L3, C14orf29"	"Abhydrolase domain containing 12B"
AC013470.2		"Novel protein"
AC083977.1		"Novel protein"
AC084756.2		"Novel protein"
AC136475.9		"Novel protein"
ADAM22	MDC2	"ADAM metallopeptidase domain 22"
ADCY8	"AC8, ADCY3, HBAC1"	"Adenylate cyclase 8"
ADGRB2	BAI2	"Adhesion G protein-coupled receptor B2"
ANKRD34C		"Ankyrin repeat domain 34C"
ANLN	"ANILLIN, scra, Scraps"	"Anillin actin binding protein"
ARC	"Arg3.1, KIAA0278"	"Activity regulated cytoskeleton associated protein"
ATRNL1	"ALP, FLJ45344, KIAA0534"	"Attractin like 1"
BGLAP	OCN	"Bone gamma-carboxyglutamate protein"
CABP7	MGC57793	"Calcium binding protein 7"
CACNG2	"MGC138502, MGC138504, stargazin"	"Calcium voltage-gated channel auxiliary subunit gamma 2"
CAMK2A	"CAMKA, CaMKIIÃŽÂ±, CaMKIINalpha, KIAA0968"	"Calcium/calmodulin dependent protein kinase II alpha"
CAMK4	"CaMK-GR, CaMKIV"	"Calcium/calmodulin dependent protein kinase IV"
CARTPT	CART	"CART prepropeptide"
CCDC114	"CILD20, FLJ32926"	"Coiled-coil domain containing 114"
CERS1	"LAG1, LASS1, UOG1"	"Ceramide synthase 1"
CHADL	SLRR4B	"Chondroadherin like"
CLDND1	"C3orf4, Z38"	"Claudin domain containing 1"
CNDP1	"CN1, CPGL2, HsT2308, MGC10825"	"Carnosine dipeptidase 1"
CNP		"2',3'-cyclic nucleotide 3' phosphodiesterase"
CORT	MGC32686	Cortistatin
CR589904.2		"Novel protein"
CSMD3		"CUB and Sushi multiple domains 3"
DBH	DBM	"Dopamine beta-hydroxylase"
DLGAP3	"DAP3, SAPAP3"	"DLG associated protein 3"
DMBX1	"OTX3, PAXB"	"Diencephalon/mesencephalon homeobox 1"
DNAH12	"DHC3, DLP12, DNAH12L, DNAH7L, Dnahc3, DNHD2, FLJ40427, FLJ44290, hdhc3, HL-19"	"Dynein axonemal heavy chain 12"
DPYSL2	"CRMP2, DHPRP2, DRP-2, DRP2"	"Dihydropyrimidinase like 2"
DPYSL5	"CRAM, CRMP-5, CRMP5, CV2, Ulip6"	"Dihydropyrimidinase like 5"
DTNA	"D18S892E, DRP3, DTN, DTN-1, DTN-2, DTN-3"	"Dystrobrevin alpha"
ELAVL2	"HEL-N1, HuB"	"ELAV like RNA binding protein 2"
FXYD7		"FXYD domain containing ion transport regulator 7"
GABRB1		"Gamma-aminobutyric acid type A receptor subunit beta1"
GAD2	GAD65	"Glutamate decarboxylase 2"
GPR37	"EDNRBL, hET(B)R-LP, PAELR"	"G protein-coupled receptor 37"
GPR37L1	ETBR-LP-2	"G protein-coupled receptor 37 like 1"
GPR6		"G protein-coupled receptor 6"
GPR62		"G protein-coupled receptor 62"
GPRC5B	RAIG-2	"G protein-coupled receptor class C group 5 member B"
GRIN2D	"EB11, GluN2D, NMDAR2D, NR2D"	"Glutamate ionotropic receptor NMDA type subunit 2D"
H1-1	"H1.1, H1a, H1F1, HIST1H1A"	"H1.1 linker histone, cluster member"
H1-4	"H1.4, H1e, H1F4, H1s-4, HIST1H1E"	"H1.4 linker histone, cluster member"
H1-5	"H1b, H1F5, H1s-3, HIST1H1B"	"H1.5 linker histone, cluster member"
H4C4	"H4/b, H4FB, HIST1H4D"	"H4 clustered histone 4"
HAPLN4	"BRAL2, KIAA1926"	"Hyaluronan and proteoglycan link protein 4"
HSPH1	"HSP105A, HSP105B, KIAA0201, NY-CO-25"	"Heat shock protein family H (Hsp110) member 1"
HTR1D	"5-HT1D, HT1DA, HTRL, RDC4"	"5-hydroxytryptamine receptor 1D"
IFITM5	"BRIL, DSPA1, fragilis4, Hrmp1"	"Interferon induced transmembrane protein 5"
IPCEF1	"KIAA0403, PIP3-E"	"Interaction protein for cytohesin exchange factors 1"
IQCJ		"IQ motif containing J"
JAKMIP3	"bA140A10.5, C10orf14, C10orf39, FLJ37857, KIAA4091, NECC2"	"Janus kinase and microtubule interacting protein 3"
KCNC1	Kv3.1	"Potassium voltage-gated channel subfamily C member 1"
KCNH1	"eag, eag1, h-eag, hEAG, Kv10.1"	"Potassium voltage-gated channel subfamily H member 1"
KCNV1	Kv8.1	"Potassium voltage-gated channel modifier subfamily V member 1"
KCTD2	KIAA0176	"Potassium channel tetramerization domain containing 2"
KIAA2012		KIAA2012
LGI3		"Leucine rich repeat LGI family member 3"
LINC00514		"Long intergenic non-protein coding RNA 514"
LRRC55	FLJ45686	"Leucine rich repeat containing 55"
LRRTM4	FLJ12568	"Leucine rich repeat transmembrane neuronal 4"
MAGEL2	"NDNL1, nM15"	"MAGE family member L2"
MEGF10	"KIAA1780, SR-F3"	"Multiple EGF like domains 10"
MTRNR2L10		"MT-RNR2 like 10"
NAT16	"C7orf52, FLJ39237"	"N-acetyltransferase 16 (putative)"
NKX6-2	"GTX, NKX6.1, NKX6B"	"NK6 homeobox 2"
NMS		"Neuromedin S"
NTNG1	"KIAA0976, Lmnt1"	"Netrin G1"
OLFM3	NOE3	"Olfactomedin 3"
PCDHA8		"Protocadherin alpha 8"
PCDHGA8	"KIAA0327, PCDH-GAMMA-A8"	"Protocadherin gamma subfamily A, 8"
PENK		Proenkephalin
PHOX2A	"ARIX, CFEOM2, FEOM2, PMX2A"	"Paired like homeobox 2A"
PLCG2		"Phospholipase C gamma 2"
PLEKHB1	"KPL1, PHR1, PHRET1"	"Pleckstrin homology domain containing B1"
PLP1	"GPM6C, PLP, SPG2"	"Proteolipid protein 1"
POTEI	POTE2beta	"POTE ankyrin domain family member I"
POU3F4	"BRN4, DFN3, DFNX2, OTF9"	"POU class 3 homeobox 4"
POU4F2	"Brn-3b, BRN3B"	"POU class 4 homeobox 2"
PRSS56		"Serine protease 56"
RAB3C		"RAB3C, member RAS oncogene family"
RFTN2	"C2orf11, FLJ30574, Raftlin-2"	"Raftlin family member 2"
RPRML	MGC43894	"Reprimo like"
SCG2	"CHGC, SgII, SN"	"Secretogranin II"
SCN1A	"FEB3, GEFSP2, HBSCI, NAC1, Nav1.1, SCN1, SMEI"	"Sodium voltage-gated channel alpha subunit 1"
SEC14L5	"KIAA0420, PRELID4B"	"SEC14 like lipid binding 5"
SLAIN1	"C13orf32, FLJ30046"	"SLAIN motif family member 1"
SLC1A6	EAAT4	"Solute carrier family 1 member 6"
SLC22A17	"BOCT, BOIT, NGALR"	"Solute carrier family 22 member 17"
SLC6A2	"NAT1, NET, NET1, SLC6A5"	"Solute carrier family 6 member 2"
SLCO1C1	"OATP-F, OATP1, OATP1C1, SLC21A14"	"Solute carrier organic anion transporter family member 1C1"
SOX14	SOX28	"SRY-box transcription factor 14"
STH	MAPTIT	Saitohin
STXBP5L	"KIAA1006, LLGL4"	"Syntaxin binding protein 5 like"
SVOP	DKFZp761H039	"SV2 related protein"
SYT3		"Synaptotagmin 3"
SYT5		"Synaptotagmin 5"
TAS2R3	T2R3	"Taste 2 receptor member 3"
TMEFF1	"C9orf2, CT120.1, H7365"	"Transmembrane protein with EGF like and two follistatin like domains 1"
TMEM132D	"KIAA1944, MOLT, PPP1R153"	"Transmembrane protein 132D"
TMEM275		"Transmembrane protein 275"
TRMT9B	"C8orf79, FLJ36980, hTRM9L, KIAA1456, TRM9L"	"TRNA methyltransferase 9B (putative)"
TTLL7	FLJ23033	"Tubulin tyrosine ligase like 7"
USP45	MGC14793	"Ubiquitin specific peptidase 45"
VSTM2B		"V-set and transmembrane domain containing 2B"
VWC2L		"Von Willebrand factor C domain containing 2 like"
YIPF4	"FinGER4, MGC11061"	"Yip1 domain family member 4"
ZBBX	FLJ23049	"Zinc finger B-box domain containing"
ZDHHC22	C14orf59	"Zinc finger DHHC-type palmitoyltransferase 22"
ZFR2	KIAA1086	"Zinc finger RNA binding protein 2"
ZMAT4	FLJ13842	"Zinc finger matrin-type 4"
AATK	"AATYK, AATYK1, KIAA0641, LMR1, LMTK1, PPP1R77"	"Apoptosis associated tyrosine kinase"
AC006059.2		"Novel protein"
AC007325.4		"Protein DGCR6"
AC010980.1		"Novel protein, ortholog of Gm2102 (M. musculus)"
AC079741.2		"Novel protein"
ACP7	"FLJ16165, PAPL, PAPL1"	"Acid phosphatase 7, tartrate resistant (putative)"
ACSBG1	"BG1, BGM, FLJ30320, hBG1, hsBG, KIAA0631, MGC14352"	"Acyl-CoA synthetase bubblegum family member 1"
ADAM11	MDC	"ADAM metallopeptidase domain 11"
ADAM20		"ADAM metallopeptidase domain 20"
ADCY2	"AC2, HBAC2, KIAA1060"	"Adenylate cyclase 2"
ADGRB1	BAI1	"Adhesion G protein-coupled receptor B1"
AGRP	"Agrt, ART, ASIP2"	"Agouti related neuropeptide"
AK5		"Adenylate kinase 5"
AL160272.2		"Novel protein"
ANKRD18B	bA255A11.3	"Ankyrin repeat domain 18B"
ANKRD62	DKFZp779B1634	"Ankyrin repeat domain 62"
APLNR	"AGTRL1, APJ, APJR, FLJ90771"	"Apelin receptor"
ASIC4	"ACCN4, BNAC4"	"Acid sensing ion channel subunit family member 4"
ATP8A2	"ATPIB, ML-1"	"ATPase phospholipid transporting 8A2"
B3GAT1	"CD57, GlcAT-P, HNK-1, LEU7, NK-1"	"Beta-1,3-glucuronyltransferase 1"
B4GALNT1	"beta1-4GalNAc-T, GALGT, SPG26"	"Beta-1,4-N-acetyl-galactosaminyltransferase 1"
BSN	ZNF231	"Bassoon presynaptic cytomatrix protein"
BTBD18		"BTB domain containing 18"
BTBD8		"BTB domain containing 8"
C1orf87	"CREF, MGC34837"	"Chromosome 1 open reading frame 87"
C1QL1	"C1QRF, C1QTNF14, CRF, CTRP14"	"Complement C1q like 1"
C1QL3	"C1ql, C1QTNF13, CTRP13, K100"	"Complement C1q like 3"
CACNG7		"Calcium voltage-gated channel auxiliary subunit gamma 7"
CARNS1	"ATPGD1, KIAA1394"	"Carnosine synthase 1"
CASTOR2	"GATSL1, GATSL2"	"Cytosolic arginine sensor for mTORC1 subunit 2"
CBLN1		"Cerebellin 1 precursor"
CBLN2		"Cerebellin 2 precursor"
CENPVL3	CENPVP3	"Centromere protein V like 3"
CEP170	"FAM68A, KAB, KIAA0470"	"Centrosomal protein 170"
CHD5		"Chromodomain helicase DNA binding protein 5"
CHRNA6		"Cholinergic receptor nicotinic alpha 6 subunit"
CNIH2	"CNIH-2, Cnil, MGC50896"	"Cornichon family AMPA receptor auxiliary protein 2"
CNPY1		"Canopy FGF signaling regulator 1"
CTNND2	"GT24, NPRAP"	"Catenin delta 2"
DIRAS2	"Di-Ras2, DKFZp761C07121"	"DIRAS family GTPase 2"
DLEU7	FLJ44882	"Deleted in lymphocytic leukemia 7"
DLL3	SCDO1	"Delta like canonical Notch ligand 3"
DRD2		"Dopamine receptor D2"
ECEL1	"DINE, XCE"	"Endothelin converting enzyme like 1"
EDIL3	DEL1	"EGF like repeats and discoidin domains 3"
ELMOD1	DKFZp547C176	"ELMO domain containing 1"
ENC1	"ENC-1, KLHL37, NRPB, PIG10, TP53I10"	"Ectodermal-neural cortex 1"
FAM163B	C9orf166	"Family with sequence similarity 163 member B"
FOXG1	"BF1, FKH2, FKHL1, FKHL2, FKHL3, FKHL4, FOXG1A, FOXG1B, FOXG1C, HBF-3, HFK1, HFK2, HFK3, QIN"	"Forkhead box G1"
GAREM2	"FAM59B, FLJ00375, GAREML, KIAA2038"	"GRB2 associated regulator of MAPK1 subtype 2"
GFAP	FLJ45472	"Glial fibrillary acidic protein"
GLRA2	GLR	"Glycine receptor alpha 2"
GPR158	KIAA1136	"G protein-coupled receptor 158"
GPR52		"G protein-coupled receptor 52"
GRIA1	"GluA1, GLUR1, GLURA"	"Glutamate ionotropic receptor AMPA type subunit 1"
GRM5	"GPRC1E, mGlu5, MGLUR5, PPP1R86"	"Glutamate metabotropic receptor 5"
H2BC10	"H2B/k, H2BFK, HIST1H2BI"	"H2B clustered histone 10"
H4C1	"H4FA, HIST1H4A"	"H4 clustered histone 1"
HDC		"Histidine decarboxylase"
HS3ST2	3OST2	"Heparan sulfate-glucosamine 3-sulfotransferase 2"
ICAM5	"TLCN, TLN"	"Intercellular adhesion molecule 5"
KCNA4	"HK1, HPCN2, KCNA4L, Kv1.4"	"Potassium voltage-gated channel subfamily A member 4"
KCNA6	"HBK2, Kv1.6, PPP1R96"	"Potassium voltage-gated channel subfamily A member 6"
KCNG3	Kv6.3	"Potassium voltage-gated channel modifier subfamily G member 3"
KCNH3	"BEC1, elk2, Kv12.2"	"Potassium voltage-gated channel subfamily H member 3"
KCNH5	"eag2, H-EAG2, hEAG2, Kv10.2"	"Potassium voltage-gated channel subfamily H member 5"
KCNJ12	"hIRK1, IRK2, KCNJN1, Kir2.2, Kir2.2v"	"Potassium inwardly rectifying channel subfamily J member 12"
KCNJ9	"GIRK3, Kir3.3"	"Potassium inwardly rectifying channel subfamily J member 9"
KIAA1755	RP5-1054A22.3	KIAA1755
KIF13B	"GAKIN, KIAA0639"	"Kinesin family member 13B"
KIRREL3	"KIAA1867, KIRRE, NEPH2"	"Kirre like nephrin family adhesion molecule 3"
KISS1R	"AXOR12, GPR54, HOT7T175"	"KISS1 receptor"
LGI1	"EPITEMPIN, EPT, ETL1, IB1099"	"Leucine rich glioma inactivated 1"
LHFPL4	GARLH4	"LHFPL tetraspan subfamily member 4"
LHX2	"hLhx2, LH-2"	"LIM homeobox 2"
LRRC10B		"Leucine rich repeat containing 10B"
MAB21L1	CAGR1	"Mab-21 like 1"
MAP3K19	"FLJ23074, RCK, YSK4"	"Mitogen-activated protein kinase kinase kinase 19"
MAPK8IP2	"IB2, JIP2, PRKM8IPL"	"Mitogen-activated protein kinase 8 interacting protein 2"
MLC1	"KIAA0027, LVM, MLC, VL"	"Modulator of VRAC current 1"
NACAD	KIAA0363	"NAC alpha domain containing"
NANOS3	"NANOS1L, NOS3, ZC2HC12C"	"Nanos C2HC-type zinc finger 3"
NAPB	"SNAP-BETA, SNAPB"	"NSF attachment protein beta"
NDST4		"N-deacetylase and N-sulfotransferase 4"
NIM1K	"MGC42105, NIM1"	"NIM1 serine/threonine protein kinase"
NKAIN2	"FAM77B, TCBA1"	"Sodium/potassium transporting ATPase interacting 2"
NOS1AP	"CAPON, KIAA0464"	"Nitric oxide synthase 1 adaptor protein"
NPFFR1	"GPR147, NPFF1R1, OT7T022"	"Neuropeptide FF receptor 1"
NPIPA1	"morpheus, NPIP"	"Nuclear pore complex interacting protein family member A1"
NPPC	CNP	"Natriuretic peptide C"
OPRM1	MOR1	"Opioid receptor mu 1"
OR10K1		"Olfactory receptor family 10 subfamily K member 1"
OR2L13	OR2L14	"Olfactory receptor family 2 subfamily L member 13"
OR2L5	"OR2L11, OR2L5P"	"Olfactory receptor family 2 subfamily L member 5"
OR2W3	"OR2W3P, OR2W8P, OST718"	"Olfactory receptor family 2 subfamily W member 3"
OR3A2	"OLFRA04, OR17-228, OR228"	"Olfactory receptor family 3 subfamily A member 2"
PCDHA5	"CNR6, CNRN6, CNRS6, CRNR6, PCDH-ALPHA5"	"Protocadherin alpha 5"
PCSK1	"NEC1, PC1, PC3, SPC3"	"Proprotein convertase subtilisin/kexin type 1"
PCSK1N	"BigLEN, PEN, proSAAS, SAAS, SCG8, SgVIII"	"Proprotein convertase subtilisin/kexin type 1 inhibitor"
PDE1C	Hcam3	"Phosphodiesterase 1C"
PDYN	"ADCA, PENKB, SCA23"	Prodynorphin
PDZD7	"bA108L7.8, DFNB57, FLJ23209, PDZK7"	"PDZ domain containing 7"
PEX5L	"PEX5R, PXR2, TRIP8b"	"Peroxisomal biogenesis factor 5 like"
PHLPP1	"KIAA0606, PHLPP, PLEKHE1, PPM3A, SCOP"	"PH domain and leucine rich repeat protein phosphatase 1"
PIP4K2A	"PIP5K2A, PIP5KIIA, PIP5KIIalpha"	"Phosphatidylinositol-5-phosphate 4-kinase type 2 alpha"
PIRT		"Phosphoinositide interacting regulator of transient receptor potential channels"
PITX3	ASMD	"Paired like homeodomain 3"
PLPPR4	"KIAA0455, LPPR4, PHP1, PRG-1"	"Phospholipid phosphatase related 4"
PNMA8C		"PNMA family member 8C"
POTEF	"A26C1B, POTE2alpha, POTEACTIN"	"POTE ankyrin domain family member F"
POU4F1	"BRN3A, RDC-1"	"POU class 4 homeobox 1"
PTPRN	"IA-2, ICA512"	"Protein tyrosine phosphatase receptor type N"
RAB3B		"RAB3B, member RAS oncogene family"
RASGRF1	"CDC25, CDC25L, GNRP, GRF1, GRF55, H-GRF55, PP13187"	"Ras protein specific guanine nucleotide releasing factor 1"
RFX4		"Regulatory factor X4"
RND2	"ARHN, Rho7, RhoN"	"Rho family GTPase 2"
SCHIP1	SCHIP-1	"Schwannomin interacting protein 1"
SCN2A	"HBSCI, HBSCII, Nav1.2, SCN2A1, SCN2A2"	"Sodium voltage-gated channel alpha subunit 2"
SEZ6		"Seizure related 6 homolog"
SEZ6L		"Seizure related 6 homolog like"
SHOX	"GCFX, PHOG, SHOXY, SS"	"Short stature homeobox"
SLC17A8	"DFNA25, VGLUT3"	"Solute carrier family 17 member 8"
SLC22A24	"MGC34821, NET46"	"Solute carrier family 22 member 24"
SLC22A31		"Solute carrier family 22 member 31"
SLC24A2	NCKX2	"Solute carrier family 24 member 2"
SLC25A41	"APC4, FLJ40442, MGC34725"	"Solute carrier family 25 member 41"
SLC35D3	FRCL1	"Solute carrier family 35 member D3"
SLC6A4	"5-HTT, HTT, OCD1, SERT1"	"Solute carrier family 6 member 4"
SLC7A10	asc-1	"Solute carrier family 7 member 10"
SNCA	"NACP, PARK1, PARK4, PD1"	"Synuclein alpha"
SNPH	bA314N13.5	Syntaphilin
SOHLH1	"bA100C15.3, bHLHe80, C9orf157, NOHLH, SPATA27, TEB2"	"Spermatogenesis and oogenesis specific basic helix-loop-helix 1"
SORCS3	"KIAA1059, SORCS"	"Sortilin related VPS10 domain containing receptor 3"
SOX10	"DOM, WS2E, WS4"	"SRY-box transcription factor 10"
SP8		"Sp8 transcription factor"
SPACA6	"LET7EH, LINC00085, NCRNA00085, SPACA6P"	"Sperm acrosome associated 6"
SPTBN5	"BSPECV, HUBSPECV, HUSPECV"	"Spectrin beta, non-erythrocytic 5"
STMN2	"SCG10, SCGN10"	"Stathmin 2"
SYN1	MRX50	"Synapsin I"
SYN3		"Synapsin III"
SYNJ2	INPP5H	"Synaptojanin 2"
SYP	MRX96	Synaptophysin
SYT14	"FLJ34198, sytXIV"	"Synaptotagmin 14"
TEX29	"bA474D23.1, C13orf16, MGC35169"	"Testis expressed 29"
TMEM132B	"KIAA1786, KIAA1906"	"Transmembrane protein 132B"
TMEM235		"Transmembrane protein 235"
TMEM271		"Transmembrane protein 271"
TMEM59L	"BSMAP, C19orf4"	"Transmembrane protein 59 like"
TTYH2	C17orf29	"Tweety family member 2"
TUBB3	"beta-4, CFEOM3, CFEOM3A, FEOM3"	"Tubulin beta 3 class III"
UBA3	"hUba3, NAE2, UBE1C"	"Ubiquitin like modifier activating enzyme 3"
ULBP1	RAET1I	"UL16 binding protein 1"
VXN	"C8orf46, MGC33510"	Vexin
XKR6	"C8orf21, C8orf5, C8orf7"	"XK related 6"
ZDHHC11B		"Zinc finger DHHC-type containing 11B"
AC007325.2		"Proline dehydrogenase 1, mitochondrial"
AC009412.1		"Novel protein"
AC012488.2		"Novel protein"
AC072022.2		"BCL6 antisense 1"
AC114402.2		"Novel protein"
AC213203.1		
AC233723.1		"Novel protein"
ADAMTS18	ADAMTS21	"ADAM metallopeptidase with thrombospondin type 1 motif 18"
ADAMTS20	GON-1	"ADAM metallopeptidase with thrombospondin type 1 motif 20"
ADCYAP1R1	"PAC1, PAC1R, PACAPR"	"ADCYAP receptor type I"
ADGRB3	"BAI3, KIAA0550"	"Adhesion G protein-coupled receptor B3"
ADRA1B		"Adrenoceptor alpha 1B"
AF241726.1		"Novel proline rich Gla (G-carboxyglutamic acid) 1 (PRRG1) and tetraspanin 7 (TSPAN7) protein"
AKAP5	"AKAP75, AKAP79"	"A-kinase anchoring protein 5"
AL451106.1		"Novel protein"
AMER3	"FAM123C, FLJ38377"	"APC membrane recruitment protein 3"
AMPH		Amphiphysin
ANKRD55	FLJ11795	"Ankyrin repeat domain 55"
ANKS1B	"AIDA-1, ANKS2, cajalin-2, EB-1"	"Ankyrin repeat and sterile alpha motif domain containing 1B"
ANKUB1	C3orf16	"Ankyrin repeat and ubiquitin domain containing 1"
APLP1	APLP	"Amyloid beta precursor like protein 1"
ASB18		"Ankyrin repeat and SOCS box containing 18"
ATP6V1G2	"ATP6G, ATP6G2, Em:AC004181.3, NG38, Vma10"	"ATPase H+ transporting V1 subunit G2"
BCL11B	"CTIP-2, CTIP2, hRIT1-alpha, ZNF856B"	"BAF chromatin remodeling complex subunit BCL11B"
BEND6	"bA203B9.1, C6orf65, FLJ30162"	"BEN domain containing 6"
BHLHE22	"Beta3, BHLHB5, CAGL85, TNRC20"	"Basic helix-loop-helix family member e22"
BHLHE23	"bA305P22.3, Beta4, BHLHB4"	"Basic helix-loop-helix family member e23"
BRSK1	KIAA1811	"BR serine/threonine kinase 1"
C1QL4	"C1QTNF11, CTRP11"	"Complement C1q like 4"
C1QTNF8	"CTRP8, UNQ5829"	"C1q and TNF related 8"
C2orf72	LOC257407	"Chromosome 2 open reading frame 72"
C9orf24	"bA573M23.4, CBE1, MGC32921, MGC33614, NYD-SP22, SMRP1"	"Chromosome 9 open reading frame 24"
CACNB4	EJM4	"Calcium voltage-gated channel auxiliary subunit beta 4"
CASP5	ICE(rel)III	"Caspase 5"
CBLN3		"Cerebellin 3 precursor"
CCDC136	"DKFZP434G156, KIAA1793, NAG6"	"Coiled-coil domain containing 136"
CCDC175	C14orf38	"Coiled-coil domain containing 175"
CDH20	"Cdh7, CDH7L3"	"Cadherin 20"
CDH22	"C20orf25, dJ998H6.1"	"Cadherin 22"
CDH4		"Cadherin 4"
CELF5	BRUNOL5	"CUGBP Elav-like family member 5"
CFAP100	"CCDC37, FLJ40083, MIA1"	"Cilia and flagella associated protein 100"
CFAP43	"bA373N18.2, C10orf79, FLJ22944, FLJ36006, WDR96"	"Cilia and flagella associated protein 43"
CFAP99		"Cilia and flagella associated protein 99"
CHN1	"ARHGAP2, CHN, DURS2, n-chimerin, RhoGAP2"	"Chimerin 1"
CHRM4		"Cholinergic receptor muscarinic 4"
CLVS2	"bA160A10.4, C6orf212, C6orf213, RLBP1L2"	"Clavesin 2"
CMTM5	"CKLFSF5, FLJ37521"	"CKLF like MARVEL transmembrane domain containing 5"
CNIH3	"CNIH-3, FLJ38993"	"Cornichon family AMPA receptor auxiliary protein 3"
CRB1	"LCA8, RP12"	"Crumbs cell polarity complex component 1"
CRHR1	"CRF-R, CRF1, CRHR"	"Corticotropin releasing hormone receptor 1"
CROCC2		"Ciliary rootlet coiled-coil, rootletin family member 2"
CUX2	"CDP2, CUTL2, KIAA0293"	"Cut like homeobox 2"
CYP46A1	CYP46	"Cytochrome P450 family 46 subfamily A member 1"
DCC	"IGDCC1, NTN1R1"	"DCC netrin 1 receptor"
DNAH9	"DNAH17L, Dnahc9, DNAL1, DYH9, HL-20, HL20, KIAA0357"	"Dynein axonemal heavy chain 9"
DNAI1	"CILD1, DIC1, PCD"	"Dynein axonemal intermediate chain 1"
DNAJC6	"KIAA0473, PARK19"	"DnaJ heat shock protein family (Hsp40) member C6"
DNM1	DNM	"Dynamin 1"
DNM3	KIAA0820	"Dynamin 3"
DRAXIN	"C1orf187, FLJ34999, Neucrin"	"Dorsal inhibitory axon guidance protein"
DSCAM	"CHD2-42, CHD2-52"	"DS cell adhesion molecule"
DSCAML1	KIAA1132	"DS cell adhesion molecule like 1"
DTHD1	FLJ16686	"Death domain containing 1"
EFHB	"CFAP21, FLJ25200"	"EF-hand domain family member B"
EIF4E1B	FLJ36951	"Eukaryotic translation initiation factor 4E family member 1B"
ELAVL4	"HUD, PNEM"	"ELAV like RNA binding protein 4"
ELFN2	"dJ63G5.3, KIAA1904, LRRC62, PPP1R29"	"Extracellular leucine rich repeat and fibronectin type III domain containing 2"
EOMES	TBR2	Eomesodermin
EXTL1	"EXTL, MGC70794"	"Exostosin like glycosyltransferase 1"
FA2H	"FAAH, FAXDC1, FLJ25287, SPG35"	"Fatty acid 2-hydroxylase"
FABP7	"B-FABP, BLBP"	"Fatty acid binding protein 7"
FAM131B	KIAA0773	"Family with sequence similarity 131 member B"
FAM178B	LOC51252	"Family with sequence similarity 178 member B"
FAM181B	"LOC220382, MGC33846"	"Family with sequence similarity 181 member B"
FAT3	"CDHF15, CDHR10, KIAA1989"	"FAT atypical cadherin 3"
FGF5		"Fibroblast growth factor 5"
FNDC9	"C5orf40, MGC27121"	"Fibronectin type III domain containing 9"
FRMPD4	"KIAA0316, PDZD10, PDZK10"	"FERM and PDZ domain containing 4"
FSD1	"MGC3213, MIR1"	"Fibronectin type III and SPRY domain containing 1"
FSHR	"FSHRO, LGR1, ODG1"	"Follicle stimulating hormone receptor"
FUT7		"Fucosyltransferase 7"
GABRA3		"Gamma-aminobutyric acid type A receptor subunit alpha3"
GABRE		"Gamma-aminobutyric acid type A receptor subunit epsilon"
GABRG1		"Gamma-aminobutyric acid type A receptor subunit gamma1"
GCK	"HK4, MODY2"	Glucokinase
GDF1		"Growth differentiation factor 1"
GHSR		"Growth hormone secretagogue receptor"
GLDN	"CLOM, COLM, colmedin, CRG-L2, UNC-122"	Gliomedin
GLRA3		"Glycine receptor alpha 3"
GNAL		"G protein subunit alpha L"
GNG3		"G protein subunit gamma 3"
GPR137C	"DKFZp762F0713, TM7SF1L2"	"G protein-coupled receptor 137C"
GPR149	"IEDA, PGR10, R35"	"G protein-coupled receptor 149"
GPR162	"A-2, GRCA"	"G protein-coupled receptor 162"
GPR85	SREB2	"G protein-coupled receptor 85"
GRM1	"GPRC1A, mGlu1, MGLUR1, PPP1R85"	"Glutamate metabotropic receptor 1"
GSG1L	"KTSR5831, MGC18079, PRO19651"	"GSG1 like"
H2AC16	"dJ193B12.9, H2A/i, H2AFI, HIST1H2AL"	"H2A clustered histone 16"
H2AL1RP		"H2A.L variant histone R, pseudogene"
H3C1	"H3/A, H3FA, HIST1H3A"	"H3 clustered histone 1"
HAP1	"HAP2, hHLP1, HIP5, HLP"	"Huntingtin associated protein 1"
HECW1	"KIAA0322, NEDL1"	"HECT, C2 and WW domain containing E3 ubiquitin protein ligase 1"
HES5	bHLHb38	"Hes family bHLH transcription factor 5"
HTR1B	"5-HT1B, 5-HT1DB, HTR1D2, S12"	"5-hydroxytryptamine receptor 1B"
HTR5A	5-HT5A	"5-hydroxytryptamine receptor 5A"
IDS	"ID2S, SIDS"	"Iduronate 2-sulfatase"
IGSF11	"BT-IgSF, CT119, Igsf13, MGC35227, VSIG3"	"Immunoglobulin superfamily member 11"
INSM2	"IA-6, Mlt1"	"INSM transcriptional repressor 2"
