GENE             CHR      START       STOP  NSNPS  NPARAM      N        ZSTAT            P        PERMP  NPERM
ENSG00000163348    1  154929502  154934512      3       2  10000       1.5081     0.065766        0.062   1000
ENSG00000271380    1  154934301  154935099      8       1  10000    -0.093091      0.53708        0.497   1000
ENSG00000160688    1  154955828  154965587      9       2  10000       3.6081   0.00015419       0.0003  10000
ENSG00000163352    1  154966064  154966618      1       1  10000      0.73556        0.231        0.225   1000
ENSG00000160685    1  154975106  154990998      1       1  10000      0.16976       0.4326        0.423   1000
ENSG00000163354    1  154991009  155006236     16       3  10000       3.3242   0.00044341        0.002   5000
ENSG00000232093    1  155017667  155018594      5       1  10000       2.5751    0.0050111        0.004   5000
ENSG00000143537    1  155023762  155035251    158      16  10000       4.2685   9.8415e-06       0.0001  10000
ENSG00000243364    1  155036207  155042029      2       1  10000      0.78599      0.21594        0.199   1000
ENSG00000143590    1  155051348  155060014     24       1  10000      0.53535       0.2962        0.288   1000
ENSG00000169242    1  155099936  155107333    197      10  10000       2.0892     0.018344        0.023   1000
ENSG00000169241    1  155107820  155111333     16       1  10000      0.21561      0.41465         0.39   1000
ENSG00000179085    1  155112367  155113071      5       2  10000     -0.86351      0.80607        0.829   1000
ENSG00000185499    1  155158300  155162706     15       4  10000       1.8365     0.033143        0.037   1000
ENSG00000231064    1  155164795  155175286      3       1  10000       0.1322      0.44741        0.426   1000
ENSG00000169231    1  155165379  155177772    243      11  10000       2.4467    0.0072093        0.012   1000
ENSG00000173171    1  155178490  155183615      2       1  10000       1.4758     0.069996        0.064   1000
ENSG00000160766    1  155183612  155197213    148       8  10000       2.3268     0.009987        0.011   1000
ENSG00000177628    1  155204243  155214490     12       2  10000      0.38104      0.35159        0.321   1000
ENSG00000160767    1  155216996  155225274    163       6  10000       2.3035     0.010625        0.012   1000
ENSG00000116521    1  155225770  155232221    102       3  10000       2.0837     0.018595        0.016   1000
ENSG00000176444    1  155232659  155243307      1       1  10000      0.79022       0.2147        0.214   1000
ENSG00000143630    1  155247374  155259639     43       3  10000       1.4685     0.070983        0.067   1000
ENSG00000143627    1  155259630  155271225      1       1  10000      -1.2591        0.896        0.891   1000
ENSG00000160752    1  155278539  155290457    206       7  10000       2.6427    0.0041123       0.0052   5000
ENSG00000225855    1  155286654  155293967      2       1  10000       2.6466    0.0040648       0.0022  10000
ENSG00000160753    1  155290687  155300905      1       1  10000      0.23347       0.4077         0.42   1000
ENSG00000227773    1  155365801  155366769      2       1  10000        2.396    0.0082873       0.0074   5000
ENSG00000235919    1  155531833  155533735      1       1  10000     -0.48765       0.6871        0.682   1000
ENSG00000223503    1  155560392  155561053      1       1  10000     -0.88159        0.811        0.811   1000
ENSG00000125459    1  155580016  155584758      1       1  10000        1.179       0.1192         0.11   1000
ENSG00000246203    1  155584517  155630036      1       1  10000      0.26034       0.3973        0.386   1000
ENSG00000163374    1  155629234  155658791    301      13  10000       2.7517     0.002964       0.0056   5000
ENSG00000132676    1  155657758  155708801      2       1  10000       2.8535    0.0021617       0.0012  10000
ENSG00000203761    1  155715620  155719928     53       3  10000       2.7538    0.0029458        0.002   5000
ENSG00000116580    1  155719453  155829191      4       1  10000     -0.15862      0.56302        0.559   1000
ENSG00000234937    1  155815158  155816415      1       1  10000       2.3559      0.00924       0.0092   5000
ENSG00000143622    1  155867599  155881195    140       7  10000       2.5851    0.0048675       0.0048   5000
ENSG00000207475    1  155889700  155889836     11       2  10000     0.074948      0.47013        0.452   1000
ENSG00000116584    1  155916642  155959864     16       2  10000       2.5605    0.0052266       0.0046   5000
ENSG00000160803    1  156005092  156023585    130       5  10000       2.8027    0.0025339       0.0026   5000
ENSG00000116586    1  156024543  156028301      7       2  10000      0.74349      0.22859        0.197   1000
ENSG00000132698    1  156030951  156040305      1       1  10000        1.098       0.1361        0.122   1000
ENSG00000160789    1  156052369  156109880      9       2  10000       2.3331    0.0098222       0.0074   5000
ENSG00000160785    1  156163723  156182587     35       5  10000     -0.18519      0.57346         0.52   1000
ENSG00000260238    1  156182773  156213123    153      12  10000       1.5996     0.054843        0.048   1000
ENSG00000160783    1  156182784  156209833     76       2  10000       1.4052     0.079983        0.073   1000
ENSG00000242252    1  156211753  156213112    175      12  10000       1.0372      0.14982        0.132   1000
ENSG00000198952    1  156219015  156252616     97       4  10000       1.5572     0.059713        0.058   1000
ENSG00000163472    1  156252739  156262234     68       1  10000       1.4109      0.07913        0.068   1000
ENSG00000198715    1  156262478  156265480     86       3  10000       1.3501     0.088498        0.077   1000
ENSG00000163468    1  156278759  156308256     39       4  10000      0.88663      0.18764        0.153   1000
ENSG00000132677    1  156339003  156355011      2       1  10000      0.33995      0.36695        0.351   1000
ENSG00000125462    1  156374049  156399184      7       2  10000      -0.5368       0.7043        0.701   1000
ENSG00000236947    1  156416204  156426369      2       1  10000       2.2618     0.011855       0.0088   5000
ENSG00000116604    1  156433519  156470620      1       1  10000      0.26034       0.3973        0.386   1000
ENSG00000260460    1  156479646  156481473      3       1  10000     -0.66432      0.74676        0.766   1000
ENSG00000183856    1  156495197  156542332      3       1  10000       1.9293     0.026849         0.02   1000
ENSG00000187862    1  156549519  156556562      1       1  10000       1.1421       0.1267        0.116   1000
ENSG00000163382    1  156561554  156564091    214      36  10000       1.6768     0.046793        0.053   1000
ENSG00000160818    1  156564279  156571275     67       2  10000      0.34791      0.36395        0.335   1000
ENSG00000132702    1  156589086  156595517      4       1  10000       1.3103     0.095054        0.088   1000
ENSG00000272068    1  156607575  156610796      1       1  10000       1.1611       0.1228        0.109   1000
ENSG00000132692    1  156611740  156629320     25       2  10000     -0.70562      0.75979        0.782   1000
ENSG00000229953    1  156616299  156631216      3       1  10000       1.1388       0.1274        0.105   1000
ENSG00000132688    1  156638555  156647189     32       5  10000       1.3539     0.087889        0.077   1000
ENSG00000143320    1  156669398  156675608      2       1  10000     -0.41813      0.66207        0.666   1000
ENSG00000223356    1  156682004  156682966      2       1  10000      0.42206      0.33649        0.336   1000
ENSG00000143314    1  156707095  156710923    116      14  10000      0.76748       0.2214        0.229   1000
ENSG00000143321    1  156711899  156722240     26       2  10000       1.1935      0.11633        0.112   1000
ENSG00000027869    1  156776035  156786654      1       1  10000       0.5429       0.2936        0.287   1000
ENSG00000198400    1  156785448  156851642     46       2  10000       0.5302      0.29799        0.269   1000
ENSG00000187800    1  156863512  156886226      3       1  10000       2.0933     0.018163        0.016   1000
ENSG00000160838    1  156890442  156902886      2       1  10000     -0.74772      0.77269        0.766   1000
ENSG00000132694    1  156904632  157015162      2       1  10000      -0.8293      0.79653        0.773   1000
ENSG00000266160    1  156955549  156955841      1       1  10000      0.84305       0.1996        0.214   1000
ENSG00000253831    1  157061836  157069600      7       2  10000     -0.52742      0.70105        0.705   1000
ENSG00000117036    1  157090983  157108266      1       1  10000     -0.63596       0.7376        0.713   1000
ENSG00000235700    1  157098154  157098463      1       1  10000     -0.59327       0.7235        0.733   1000
ENSG00000183853    1  157963063  158070052      1       1  10000     -0.97371       0.8349        0.846   1000
ENSG00000158473    1  158149737  158154686      1       1  10000      -1.0718       0.8581        0.863   1000
ENSG00000229914    1  158165423  158165921      1       1  10000      0.15604        0.438         0.45   1000
ENSG00000236257    1  158423988  158425063      2       1  10000      0.61241      0.27013        0.238   1000
ENSG00000163563    1  158801107  158819294    259      14  10000     -0.48499      0.68616        0.693   1000
ENSG00000163565    1  158979682  159024945    463      22  10000      0.85767      0.19554        0.169   1000
ENSG00000163568    1  159032274  159046691      6       1  10000      0.84103      0.20017        0.185   1000
ENSG00000233473    1  159050923  159051585      1       1  10000       1.9165      0.02765         0.03   1000
ENSG00000162706    1  159141399  159173103     24       4  10000      0.50066       0.3083        0.282   1000
ENSG00000225670    1  159164115  159177763      2       1  10000      0.31062      0.37805        0.356   1000
ENSG00000213088    1  159173097  159176290      6       3  10000       2.2543     0.012087        0.018   1000
ENSG00000179639    1  159259504  159278014    206      17  10000       1.9288     0.026876         0.03   1000
ENSG00000158716    1  159750722  159752333     57      10  10000      0.80894      0.20928        0.175   1000
ENSG00000181036    1  159770302  159786041      1       1  10000     -0.56658       0.7145         0.73   1000
ENSG00000158714    1  159796540  159807039     19       4  10000      0.75684      0.22457        0.218   1000
ENSG00000188004    1  159804264  159825137    111      23  10000       2.0063     0.022414        0.026   1000
ENSG00000243284    1  159824106  159832447      2       1  10000      -0.6906      0.75509        0.775   1000
ENSG00000256029    1  159827722  159842804      8       4  10000       0.6066      0.27206        0.263   1000
ENSG00000272668    1  159836744  159837475     64       6  10000     0.031705      0.48735        0.459   1000
ENSG00000085552    1  159896829  159915394      1       1  10000      0.70405       0.2407        0.262   1000
ENSG00000162723    1  159921282  159924044      8       1  10000     -0.90424      0.81707        0.828   1000
ENSG00000177807    1  159968441  160040273     41       6  10000       2.6514    0.0040081         0.01   1000
ENSG00000260766    1  159994743  159996584      2       1  10000       1.6476     0.049719        0.053   1000
ENSG00000143315    1  159997463  160001781     34       2  10000       1.2906      0.09842         0.09   1000
ENSG00000162728    1  160051360  160060353     43       5  10000       2.2365     0.012659        0.021   1000
ENSG00000162729    1  160061130  160068618      1       1  10000       1.5691      0.05831        0.055   1000
ENSG00000132681    1  160121360  160156767      3       2  10000     -0.25281      0.59979        0.591   1000
ENSG00000143318    1  160160346  160171676    255      24  10000       5.2861   6.2485e-08       0.0001  10000
ENSG00000162734    1  160175127  160185166      9       1  10000       2.5636    0.0051802       0.0044   5000
ENSG00000132716    1  160185505  160232291      1       1  10000      -0.1249       0.5497        0.543   1000
ENSG00000122218    1  160259063  160313190     75       9  10000       3.4889   0.00024252       0.0007  10000
ENSG00000171786    1  160336857  160342638     12       2  10000     -0.47636      0.68309        0.687   1000
ENSG00000162738    1  160370376  160398468     17       3  10000      0.45814      0.32343        0.281   1000
ENSG00000066294    1  160510885  160549306    101       6  10000      0.45999      0.32276        0.249   1000
ENSG00000117091    1  160648536  160681641     21       1  10000     -0.85489      0.80369        0.818   1000
ENSG00000026751    1  160708847  160724611      2       1  10000     -0.81355      0.79205        0.801   1000
ENSG00000122223    1  160799950  160832645     53       6  10000       1.7375     0.041151        0.042   1000
ENSG00000213080    1  160864770  160865866     13       3  10000     -0.76724      0.77853         0.78   1000
ENSG00000158769    1  160965001  160991138     27       4  10000     -0.63988      0.73887        0.731   1000
ENSG00000215845    1  161007421  161008780    200      16  10000     -0.17436      0.56921        0.536   1000
ENSG00000158773    1  161009041  161015767      4       2  10000     -0.32873      0.62882        0.591   1000
ENSG00000186517    1  161016738  161039760      7       2  10000     -0.89524      0.81467        0.821   1000
ENSG00000162755    1  161068184  161070136     26       4  10000      0.78091      0.21743        0.221   1000
ENSG00000143256    1  161070346  161087901     15       3  10000      -1.5081      0.93424        0.959   1000
ENSG00000158793    1  161087891  161095235     23       2  10000     -0.57846      0.71852        0.714   1000
ENSG00000158796    1  161090764  161102478      8       1  10000       1.1505      0.12497        0.131   1000
ENSG00000143222    1  161123542  161128646      6       2  10000      -1.4878       0.9316        0.964   1000
ENSG00000143224    1  161136200  161146882     32       4  10000      0.37936      0.35221        0.335   1000
ENSG00000158864    1  161169105  161184185     40       5  10000       1.1184      0.13171         0.13   1000
ENSG00000158869    1  161185069  161190489      2       1  10000      0.86326        0.194        0.192   1000
ENSG00000158882    1  161195729  161200534     29       6  10000       1.4509     0.073401        0.061   1000
ENSG00000143257    1  161199456  161208092      2       1  10000      -2.1612      0.98466        0.988   1000
ENSG00000248485    1  161228517  161255240    307      15  10000    -0.013022      0.50519        0.464   1000
ENSG00000158887    1  161274525  161279762     82      10  10000      0.12005      0.45222        0.446   1000
ENSG00000143252    1  161284047  161345130    187       2  10000      0.25234      0.40039        0.375   1000
ENSG00000188931    1  161334521  161337664      2       1  10000      0.28945      0.38612        0.345   1000
ENSG00000273075    1  161344552  161345130    169       1  10000      0.36022      0.35934        0.326   1000
ENSG00000215840    1  161375858  161376872      5       1  10000      0.98429      0.16249        0.148   1000
ENSG00000143226    1  161475220  161489358     40       3  10000      0.39189      0.34757         0.31   1000
ENSG00000203747    1  161511549  161520413     41       4  10000       0.2288      0.40951        0.377   1000
ENSG00000244682    1  161551129  161570032    161      21  10000     -0.68951      0.75475        0.743   1000
ENSG00000225217    1  161576081  161578007     38       7  10000      -1.0776       0.8594        0.882   1000
ENSG00000162747    1  161592986  161601753      1       1  10000     -0.40592       0.6576        0.673   1000
ENSG00000072694    1  161632937  161648444     40       6  10000      0.21827      0.41361        0.401   1000
ENSG00000132185    1  161676762  161684141      5       2  10000     -0.72946      0.76714        0.766   1000
ENSG00000162746    1  161691353  161697933    355      29  10000     -0.49096      0.68827         0.64   1000
ENSG00000081721    1  161719560  161726952     38       3  10000      0.68369      0.24709        0.202   1000
ENSG00000226889    1  161735115  161736017      8       2  10000     -0.53675      0.70428        0.683   1000
ENSG00000118217    1  161736084  161933860     80      14  10000      -0.8045      0.78945        0.792   1000
ENSG00000229808    1  161860623  161861986     13       2  10000     -0.37366      0.64567        0.645   1000
ENSG00000162745    1  161952982  161993644      4       1  10000     -0.45648      0.67598        0.717   1000
ENSG00000198929    1  162039564  162340265      1       1  10000       1.0258       0.1525        0.156   1000
ENSG00000227094    1  162286642  162287584      2       1  10000     -0.53442      0.70347        0.672   1000
ENSG00000254706    1  162337102  162353321      3       1  10000      0.18597      0.42623        0.394   1000
ENSG00000171722    1  162342993  162346660      1       1  10000      0.95733       0.1692        0.152   1000
ENSG00000239887    1  162348631  162356608     10       2  10000    0.0075101        0.497        0.459   1000
ENSG00000198574    1  162365056  162381916    104      16  10000     -0.55309       0.7099        0.705   1000
ENSG00000152332    1  162467041  162499419      2       1  10000      0.25117      0.40084        0.371   1000
ENSG00000259788    1  162530017  162531098     24       4  10000       1.6216     0.052444        0.057   1000
ENSG00000117143    1  162531296  162569632     15       2  10000     -0.77966      0.78221        0.816   1000
ENSG00000272574    1  162562893  162563544      5       3  10000     -0.77222      0.78001        0.774   1000
ENSG00000162733    1  162602255  162757190      5       2  10000      -1.4696      0.92916         0.94   1000
ENSG00000243173    1  162747520  162747802      3       1  10000      -1.0486      0.85281         0.86   1000
ENSG00000132196    1  162760513  162782319     70       9  10000     -0.48808      0.68725        0.686   1000
ENSG00000185860    1  162821106  162838605    122      20  10000      0.82198      0.20554        0.198   1000
ENSG00000117152    1  163038565  163046592      3       1  10000       0.3669      0.35685        0.338   1000
ENSG00000143248    1  163112089  163291581     37       4  10000       3.6985   0.00010842       0.0001  10000
ENSG00000232995    1  163214295  163291684    283      15  10000       2.7246    0.0032185       0.0052   5000
ENSG00000143228    1  163291690  163325554     62       4  10000       1.2698      0.10207        0.089   1000
ENSG00000185630    1  164528437  164821068    247      14  10000       4.7444   1.0457e-06       0.0001  10000
ENSG00000269887    1  164649322  164650036      1       1  10000      -1.6736       0.9529        0.956   1000
ENSG00000233693    1  164738353  164743878     17       3  10000      0.16836      0.43315        0.418   1000
ENSG00000143171    1  165370154  165414592     34       5  10000       1.5836     0.056641        0.053   1000
ENSG00000143198    1  165600098  165631033     79      12  10000       1.3301      0.09174        0.088   1000
ENSG00000143149    1  165631453  165668100    245      37  10000     0.035719      0.48575        0.457   1000
ENSG00000230175    1  165640493  165640962      4       1  10000       0.5446      0.29301        0.285   1000
ENSG00000225272    1  165645547  165646018      1       1  10000      0.44517       0.3281        0.323   1000
ENSG00000215838    1  165667987  165679205      5       2  10000     -0.69303      0.75585        0.739   1000
ENSG00000273365    1  165675793  165676521      1       1  10000     -0.93304       0.8246        0.827   1000
ENSG00000143183    1  165693530  165796992     36       5  10000      0.28254      0.38876        0.362   1000
ENSG00000224358    1  165738166  165744413     66       8  10000      0.37517      0.35377        0.316   1000
ENSG00000143179    1  165796768  165877346      1       1  10000      -1.1044       0.8653        0.873   1000
ENSG00000271527    1  165910472  165911006      1       1  10000    -0.016795       0.5067        0.515   1000
ENSG00000226292    1  165991452  165992264      4       2  10000     -0.36014      0.64063        0.657   1000
ENSG00000267884    1  166026679  166028709      3       1  10000       1.0868      0.13857        0.126   1000
ENSG00000188859    1  166039256  166136206     10       2  10000       1.4899     0.068131         0.06   1000
ENSG00000143157    1  166808694  166825581    272      14  10000       2.8121    0.0024612        0.006   5000
ENSG00000152382    1  166825747  166845564    290      25  10000     0.037488      0.48505        0.456   1000
ENSG00000225171    1  166837985  166838446     52       5  10000       2.6158    0.0044515       0.0068   5000
ENSG00000143194    1  166944819  166991451    728      39  10000       2.3969    0.0082667        0.015   5000
ENSG00000143167    1  167022073  167059868    110       6  10000     -0.67008       0.7486        0.759   1000
ENSG00000198842    1  167063282  167098402      7       2  10000       0.2516      0.40068        0.417   1000
ENSG00000198821    1  167399877  167487847     23       7  10000      -1.1465       0.8742        0.906   1000
ENSG00000233411    1  167426620  167427898      1       1  10000     -0.13653       0.5543        0.542   1000
ENSG00000227776    1  167488773  167489823     23       2  10000      -1.9065      0.97171        0.997   1000
ENSG00000143162    1  167510250  167523004     64       7  10000      0.11742      0.45326        0.428   1000
ENSG00000198771    1  167599330  167675486     70      10  10000     -0.43256      0.66733        0.674   1000
ENSG00000197965    1  167691187  167761156     60       8  10000      -1.1071      0.86587        0.906   1000
ENSG00000143199    1  167778625  167883453    207      11  10000       1.4052     0.079978        0.084   1000
ENSG00000232194    1  167789644  167790462      1       1  10000      0.47134       0.3187        0.317   1000
ENSG00000143158    1  167885967  167906278    172       6  10000      0.87768      0.19006        0.183   1000
ENSG00000143164    1  167905797  168045081     25       3  10000      0.58577      0.27901        0.273   1000
ENSG00000224837    1  168025139  168025660     98       8  10000      0.63052      0.26418        0.205   1000
ENSG00000143147    1  168048781  168106905    312      28  10000       1.3511     0.088332        0.089   1000
ENSG00000143155    1  168148171  168171352     49       7  10000     -0.12571      0.55002        0.536   1000
ENSG00000213064    1  168195188  168222263     60       6  10000     -0.50406      0.69289        0.711   1000
ENSG00000214262    1  168214803  168216581      2       1  10000      -1.3406      0.90997        0.918   1000
ENSG00000143178    1  168250278  168283664     22       6  10000     -0.20771      0.58227        0.602   1000
ENSG00000143185    1  168510003  168513235      8       2  10000     -0.30654       0.6204         0.63   1000
ENSG00000143196    1  168664697  168698502      2       1  10000     -0.14971      0.55951        0.564   1000
ENSG00000225826    1  168756177  168762124      5       2  10000      0.61276      0.27002        0.256   1000
ENSG00000203601    1  168873143  169056243      8       2  10000      0.68515      0.24662        0.257   1000
ENSG00000213063    1  168907705  168908161      1       1  10000      0.52757       0.2989        0.332   1000
ENSG00000237707    1  169073362  169074145      3       2  10000     -0.15295      0.56078        0.565   1000
ENSG00000143153    1  169074935  169101960      3       2  10000      0.33122      0.37024        0.349   1000
ENSG00000143156    1  169101769  169337205     82       5  10000       1.1533       0.1244        0.108   1000
ENSG00000117475    1  169337208  169365778    125       4  10000        1.762     0.039034        0.036   1000
ENSG00000117477    1  169364108  169429907    542      14  10000     -0.65153      0.74265        0.755   1000
ENSG00000213062    1  169455314  169456224     56       7  10000       2.1306     0.016561        0.021   1000
ENSG00000198734    1  169483404  169555826    102       8  10000      0.79572       0.2131        0.236   1000
ENSG00000174175    1  169558090  169599431     53       2  10000     -0.67876      0.75135        0.782   1000
ENSG00000188404    1  169659808  169680839    521      14  10000       1.5029     0.066427        0.061   1000
ENSG00000007908    1  169691782  169703203      1       1  10000      -1.7335       0.9585        0.966   1000
ENSG00000171806    1  169761670  169764107    913      15  10000       1.3584     0.087168        0.093   1000
ENSG00000000460    1  169763871  169823221    658      11  10000       1.5511     0.060439        0.068   1000
ENSG00000000457    1  169818772  169863100     63       4  10000       1.7744     0.037998         0.04   1000
ENSG00000239494    1  169828897  169829193      3       1  10000     -0.56286      0.71324        0.719   1000
ENSG00000075945    1  169890467  170043879    701       8  10000        1.446     0.074091        0.075   1000
ENSG00000243051    1  169927085  169927387    489       3  10000       1.5757     0.057542        0.056   1000
ENSG00000231407    1  170429594  170501788    154       4  10000      0.69931      0.24218        0.209   1000
ENSG00000120370    1  170501270  170522587    362      16  10000       1.0388      0.14946        0.123   1000
ENSG00000116132    1  170632275  170708560    369      35  10000       0.4688      0.31961        0.276   1000
ENSG00000271811    1  170636522  170638566     94       9  10000     -0.90959      0.81848        0.821   1000
ENSG00000007933    1  171060018  171086959    244      21  10000       0.7484      0.22711        0.223   1000
ENSG00000094963    1  171154347  171180369    268      18  10000      0.62686      0.26538        0.254   1000
ENSG00000231424    1  171216719  171220933    138      12  10000      0.75927      0.22385        0.206   1000
ENSG00000076258    1  171283373  171311223     40       1  10000      -1.2379      0.89213        0.938   1000
ENSG00000117523    1  171454690  171562650     80       7  10000       1.5511     0.060438        0.053   1000
ENSG00000117533    1  171669300  171711387    296      18  10000       3.1284   0.00087872       0.0007  10000
ENSG00000010165    1  171750822  171766857    131      15  10000       3.5837   0.00016938       0.0002  10000
ENSG00000213060    1  171772657  171773079      1       1  10000       1.5809      0.05695        0.063   1000
ENSG00000197959    1  171810638  172381857     52       3  10000       1.4888     0.068264         0.07   1000
ENSG00000180999    1  172389828  172437971      3       1  10000     -0.62171      0.73293        0.741   1000
ENSG00000135845    1  172410597  172413226     47       5  10000      0.20807      0.41759        0.374   1000
ENSG00000094975    1  172501489  172580973    105      10  10000       1.5274     0.063333         0.06   1000
ENSG00000120337    1  173009100  173020103    127      20  10000      0.17978      0.42866        0.395   1000
ENSG00000230849    1  173110239  173111489     60      11  10000       -1.121      0.86886        0.885   1000
ENSG00000226375    1  173143439  173144642     16       3  10000     -0.37754      0.64712        0.657   1000
ENSG00000117586    1  173152873  173176452     11       2  10000     -0.26299      0.60372          0.6   1000
ENSG00000232751    1  173320828  173321143      1       1  10000     -0.29264       0.6151        0.616   1000
ENSG00000231615    1  173331536  173332872     43       4  10000     -0.68357      0.75288        0.765   1000
ENSG00000203739    1  173386932  173430501     20       4  10000       1.1959      0.11587        0.086   1000
ENSG00000117592    1  173446405  173457946     65       4  10000       3.4603   0.00026974       0.0003  10000
ENSG00000162753    1  173469603  173572233    505      13  10000       6.5121   3.7058e-11       0.0001  10000
ENSG00000238272    1  173524390  173581911    135       9  10000       5.4732   2.2094e-08       0.0001  10000
ENSG00000183831    1  173578700  173639001    582      17  10000       6.6271   1.7112e-11       0.0001  10000
ENSG00000225591    1  173710813  173711067      5       2  10000      0.26063      0.39719        0.379   1000
ENSG00000117593    1  173793641  173827684    522      12  10000       6.3387   1.1586e-10       0.0001  10000
ENSG00000270084    1  173832386  173833079    740      22  10000       6.6278   1.7033e-11       0.0001  10000
ENSG00000234741    1  173833038  173838020    387      20  10000       5.6309   8.9655e-09       0.0001  10000
ENSG00000117601    1  173872942  173886516    545      13  10000        6.456   5.3756e-11       0.0001  10000
ENSG00000135870    1  173900352  173991435    190       2  10000       4.5268   2.9941e-06       0.0001  10000
ENSG00000227373    1  174084438  174129142    505       5  10000       2.6889    0.0035848        0.003   5000
ENSG00000152061    1  174128548  174964445    502      13  10000       5.4824    2.098e-08       0.0001  10000
ENSG00000203737    1  174417249  174418336    165       3  10000       1.1222      0.13089        0.108   1000
ENSG00000231378    1  174818805  174819306     62       3  10000        5.305   5.6343e-08       0.0001  10000
ENSG00000237249    1  174861554  174862292      4       1  10000    -0.047686      0.51902        0.518   1000
ENSG00000223525    1  174866095  174867133      1       1  10000     -0.15274       0.5607        0.543   1000
ENSG00000116161    1  174968300  174980851      4       2  10000      0.82388        0.205        0.187   1000
ENSG00000120333    1  174982094  174992561    508       6  10000       2.7393    0.0030787       0.0028   5000
ENSG00000120332    1  175036994  175117202    420      27  10000       1.7489     0.040156        0.043   1000
ENSG00000235750    1  175126123  175162079    114      10  10000       2.8145    0.0024428       0.0036   5000
ENSG00000116147    1  175284330  175712906     52       4  10000      0.93651      0.17451        0.168   1000
ENSG00000235628    1  175507911  175525954      3       1  10000       1.2982     0.097108         0.08   1000
ENSG00000227740    1  175873898  175889649    186       6  10000       1.1239      0.13053        0.126   1000
ENSG00000143207    1  175913967  176176629    250       6  10000       1.2356       0.1083        0.108   1000
ENSG00000236021    1  176176784  176198466     63       1  10000      0.74453      0.22828        0.199   1000
ENSG00000116183    1  176432307  176814741    144      11  10000      0.48094      0.31528        0.276   1000
ENSG00000152092    1  176826438  177134003     72       5  10000       -1.207      0.88628         0.96   1000
ENSG00000198797    1  177140633  177251558     45       5  10000       3.3778   0.00036536       0.0005  10000
ENSG00000224968    1  177320722  177335408      9       2  10000       1.5177     0.064551        0.065   1000
ENSG00000227579    1  177362423  177566844     19       2  10000       1.2705      0.10196        0.088   1000
ENSG00000254154    1  177897923  178007142     42      14  10000       1.4613     0.071961        0.064   1000
ENSG00000120341    1  177898281  177939348     62      11  10000     -0.43918      0.66974         0.65   1000
ENSG00000242193    1  177975271  178007085    195      36  10000       2.2341     0.012739        0.018   1000
ENSG00000224687    1  178060643  178063119     35       3  10000     -0.76347      0.77741        0.825   1000
ENSG00000075391    1  178063276  178453282     98       3  10000      0.93222      0.17561        0.167   1000
ENSG00000270575    1  178163477  178163844      1       1  10000     0.045887       0.4817        0.471   1000
ENSG00000240021    1  178482212  178492566     21       2  10000     -0.10842      0.54317        0.481   1000
ENSG00000213057    1  178511887  178518024      2       1  10000     -0.17855      0.57085        0.576   1000
ENSG00000273384    1  178620841  178621417    164      10  10000       2.3216     0.010127        0.016   1000
ENSG00000228196    1  178715818  178716889      2       1  10000       1.1251      0.13028        0.122   1000
ENSG00000116194    1  178818840  178840187     70       4  10000      -1.0929      0.86279        0.936   1000
ENSG00000116199    1  178995031  179045697    826      27  10000       4.3916   5.6268e-06       0.0001  10000
ENSG00000186283    1  179050512  179067158     34       8  10000      0.60168      0.27369        0.257   1000
ENSG00000143322    1  179068462  179198819    367      15  10000       3.9991   3.1786e-05       0.0001  10000
ENSG00000231905    1  179152869  179153682     42       5  10000      0.76932      0.22085        0.192   1000
ENSG00000057252    1  179262849  179327815    668      14  10000       1.6468     0.049798        0.054   1000
ENSG00000162779    1  179334855  179523870    750      28  10000       1.1057      0.13442        0.123   1000
ENSG00000227141    1  179555840  179558310   1063      23  10000       2.7229    0.0032356       0.0106   5000
ENSG00000261060    1  179559507  179560440    363      10  10000       1.3911     0.082094         0.08   1000
ENSG00000162782    1  179560748  179660407   1618      40  10000       3.3496   0.00040461        0.002   5000
ENSG00000143340    1  179712298  179785333    703      29  10000       1.0933      0.13713        0.115   1000
ENSG00000229407    1  179785319  179787326      1       1  10000     -0.87165       0.8083         0.81   1000
ENSG00000169905    1  179809102  179846938      8       1  10000       1.8856     0.029672        0.026   1000
ENSG00000272906    1  179850742  179851730    225      12  10000      0.51648      0.30276        0.244   1000
ENSG00000143337    1  179851177  179894135     16       1  10000      0.66328      0.25358        0.225   1000
ENSG00000264916    1  179869397  179869697      4       2  10000       2.4509    0.0071254       0.0056   5000
ENSG00000235145    1  179937821  179938641     25       6  10000       2.7524    0.0029581       0.0044   5000
ENSG00000223450    1  179969573  179969943      1       1  10000       1.1601        0.123        0.124   1000
ENSG00000116260    1  180123969  180173165     30       3  10000     -0.30017      0.61798        0.606   1000
ENSG00000121454    1  180199421  180248117     47       1  10000      0.33006      0.37068        0.354   1000
ENSG00000230124    1  180257365  180472089      4       2  10000   -0.0010248      0.50041        0.518   1000
ENSG00000143324    1  180601140  180859387     58       2  10000      -0.3921      0.65251        0.665   1000
ENSG00000225857    1  180875787  180878302     11       3  10000      -1.2283      0.89034        0.948   1000
ENSG00000135835    1  180882325  180920750     96      15  10000      0.22811      0.40978        0.356   1000
ENSG00000243155    1  180913178  180945618     10       1  10000     -0.51403      0.69638        0.702   1000
ENSG00000251520    1  180933647  180935045      1       1  10000      0.33265       0.3697        0.353   1000
ENSG00000270711    1  180939973  180940383      1       1  10000       3.0971    0.0009772        0.001  10000
ENSG00000135823    1  180941848  180992257    330      32  10000        3.656    0.0001281       0.0006  10000
